These are the default keyboard bindings.
M (Mod) is super(key).
C is Control.
S is Shift.
A is alt.

M+p         spawn dmenu
M+C+p       spawn rofi
M+C+t       spawn rofi translate
M+C+m       spawn rofi monitor layout
M+C+u       spawn rofi usb mount
M+C+c       spawn rofi clipboard
M+A+b       spawn Brave browser
M+A+m       spawn Thunderbird (mail)
M+A+t       spawn Thunar (file browser)

M+Space     toggle layout

M+b         toggle status bar visibility
M+j         focus next client
M+k         focus previous client
M+s         start/stop screencast
M+d         decrement master
M+i         increment master
M+m         monocle layout
M+Return    zoom window
M+Tab       toggle tags - switching between the two most recent desktops
M+S+Tab     focus previous window
M+l         increase master area size
M+h         decrease master area size
M+C+l       move mouse pointer to next screen (xinerama only)
M+C+h       move mouse pointer to previous screen (xinerama only)
M+1         view workspace 1
M+2         view workspace 2
[...]
M+0         view workspace 10
M+S+1       move window to workspace 1
M+S+2       move window to workspace 2
[...]
M+S+0       move client to workspace 10
A+u         increment gaps
A+S+u       decrement gaps
A+i         increment inner gaps
A+S+i       decrement inner gaps
A+o         inc outer gaps
A+S+o       ....
A+0         toggle gaps
A+S+0       default gaps
M+Tab       switch between recent and current workspace
M+C+z       show/hide client (just like klicking on bar of client)
M+t         tiling layout
M+f         floating layout
M+m         monocle layout
M+space     toggle current and last layout
M+S+space   toggle floating
M+(-)       scratchpad show
M+S+(-)     scratchpad hide
M+(=)       scratchpad remove
M+C+(,)     cycle layout
Print       screenshot
Print+C     screencut
M+A+C+l     lock screen
M+0         show all clients
M+S+0       show active client on all workspaces
M+c         camtoggle
M+s         screencast
A+C+h       hibernate
A+C+l       lock screen
